strategy,query,rank,chunk_id,port,date,distance,auto_relevance_0_2,manual_relevance_0_2
A,How many tanker arrivals were recorded at LVVNT on 2021-01-01?,1,A_PC_220530000_2021-01-01T23-20-06_LVVNT_portcall,LVVNT,2021-01-01,0.3689703941345215,1,
A,How many tanker arrivals were recorded at LVVNT on 2021-01-01?,2,A_PC_276848000_2021-01-01T01-27-45_LVVNT_portcall,LVVNT,2021-01-01,0.3848094940185547,1,
A,How many tanker arrivals were recorded at LVVNT on 2021-01-01?,3,A_PC_245286000_2021-01-01T00-38-44_LVVNT_portcall,LVVNT,2021-01-01,0.4935440421104431,1,
A,How many tanker arrivals were recorded at LVVNT on 2021-01-01?,4,A_AIS_538003490_2021-01-01T12-24-38_54.86516_13.31565_ais,LVVNT,2021-01-01,0.5505387187004089,1,
A,How many tanker arrivals were recorded at LVVNT on 2021-01-01?,5,A_AIS_538003490_2021-01-01T11-57-48_54.83914_13.19165_ais,LVVNT,2021-01-01,0.552201509475708,1,
A,Describe vessel arrivals at Ventspils (LVVNT) on 2021-01-01 and mention dwell anomalies.,1,A_PC_276848000_2021-01-01T01-27-45_LVVNT_portcall,LVVNT,2021-01-01,0.3808788061141968,2,
A,Describe vessel arrivals at Ventspils (LVVNT) on 2021-01-01 and mention dwell anomalies.,2,A_PC_220530000_2021-01-01T23-20-06_LVVNT_portcall,LVVNT,2021-01-01,0.42164498567581177,1,
A,Describe vessel arrivals at Ventspils (LVVNT) on 2021-01-01 and mention dwell anomalies.,3,A_PC_245286000_2021-01-01T00-38-44_LVVNT_portcall,LVVNT,2021-01-01,0.4673715829849243,1,
A,Describe vessel arrivals at Ventspils (LVVNT) on 2021-01-01 and mention dwell anomalies.,4,A_AIS_538003490_2021-01-01T13-53-07_54.94689_13.73474_ais,LVVNT,2021-01-01,0.5136251449584961,1,
A,Describe vessel arrivals at Ventspils (LVVNT) on 2021-01-01 and mention dwell anomalies.,5,A_AIS_538003490_2021-01-01T12-51-38_54.88978_13.44074_ais,LVVNT,2021-01-01,0.5142837762832642,1,
A,What happened at SEGOT on 2021-02-03 in terms of vessel arrivals?,1,A_PC_271045707_2021-02-03T06-16-56_SEGOT_portcall,SEGOT,2021-02-03,0.26701564555812285,1,
A,What happened at SEGOT on 2021-02-03 in terms of vessel arrivals?,2,A_PC_253437000_2021-02-03T21-27-00_SEGOT_portcall,SEGOT,2021-02-03,0.27263879413867775,1,
A,What happened at SEGOT on 2021-02-03 in terms of vessel arrivals?,3,A_PC_265002000_2021-02-03T08-02-22_SEGOT_portcall,SEGOT,2021-02-03,0.27695591659382657,1,
A,What happened at SEGOT on 2021-02-03 in terms of vessel arrivals?,4,A_PC_266203000_2021-02-03T11-07-52_SEGOT_portcall,SEGOT,2021-02-03,0.2848137709992504,1,
A,What happened at SEGOT on 2021-02-03 in terms of vessel arrivals?,5,A_PC_256702000_2021-02-03T00-32-17_SEGOT_portcall,SEGOT,2021-02-03,0.29360135257827014,1,
A,List AIS incident-like position jumps for MMSI events around 2021-01-01.,1,A_PC_209543000_2021-01-02T11-29-42_LVRIX_portcall,LVRIX,2021-01-02,0.5994828939437866,1,
A,List AIS incident-like position jumps for MMSI events around 2021-01-01.,2,A_PC_230666000_2021-01-02T05-05-28_LVRIX_portcall,LVRIX,2021-01-02,0.623619556427002,1,
A,List AIS incident-like position jumps for MMSI events around 2021-01-01.,3,A_PC_265411000_2021-01-01T09-39-36_SEUME_portcall,SEUME,2021-01-01,0.6257535219192505,1,
A,List AIS incident-like position jumps for MMSI events around 2021-01-01.,4,A_PC_236039000_2021-01-01T09-36-41_SENRK_portcall,SENRK,2021-01-01,0.6302650570869446,1,
A,List AIS incident-like position jumps for MMSI events around 2021-01-01.,5,A_PC_255805907_2021-01-01T11-57-43_SEMMA_portcall,SEMMA,2021-01-01,0.634981095790863,1,
A,Give a port-day summary for LVVNT on 2021-01-02.,1,A_AIS_538002614_2021-01-02T17-50-05_55.17096_13.90847_ais,LVVNT,2021-01-02,0.6020932197570801,1,
A,Give a port-day summary for LVVNT on 2021-01-02.,2,A_AIS_538002614_2021-01-02T17-35-55_55.17556_13.81757_ais,LVVNT,2021-01-02,0.6032658815383911,1,
A,Give a port-day summary for LVVNT on 2021-01-02.,3,A_AIS_538002614_2021-01-02T15-48-15_55.21621_13.13938_ais,LVVNT,2021-01-02,0.6052381992340088,1,
A,Give a port-day summary for LVVNT on 2021-01-02.,4,A_AIS_538002614_2021-01-02T16-34-58_55.19758_13.43541_ais,LVVNT,2021-01-02,0.6067748665809631,1,
A,Give a port-day summary for LVVNT on 2021-01-02.,5,A_AIS_538002614_2021-01-02T16-48-27_55.19167_13.51835_ais,LVVNT,2021-01-02,0.6073189973831177,1,
A,Were there unusual dwell-time outliers at LVVNT during January 2021?,1,A_PC_220530000_2021-01-08T21-19-40_LVVNT_portcall,LVVNT,2021-01-08,0.546754002571106,1,
A,Were there unusual dwell-time outliers at LVVNT during January 2021?,2,A_PC_538002614_2021-01-03T17-46-58_LVVNT_portcall,LVVNT,2021-01-03,0.5545418858528137,1,
A,Were there unusual dwell-time outliers at LVVNT during January 2021?,3,A_PC_538004639_2021-01-23T05-30-17_LVVNT_portcall,LVVNT,2021-01-23,0.5655211210250854,1,
A,Were there unusual dwell-time outliers at LVVNT during January 2021?,4,A_PC_311001007_2021-01-13T16-12-11_LVVNT_portcall,LVVNT,2021-01-13,0.5703914761543274,1,
A,Were there unusual dwell-time outliers at LVVNT during January 2021?,5,A_PC_245930000_2021-01-11T08-39-06_LVVNT_portcall,LVVNT,2021-01-11,0.5705516338348389,1,
A,Provide evidence about cargo ship traffic to LUBECK between 2021-01-01 and 2021-01-03.,1,A_AIS_212575000_2021-01-03T02-51-21_55.01934_13.89033_ais,LUBECK,2021-01-03,0.41691577434539795,1,
A,Provide evidence about cargo ship traffic to LUBECK between 2021-01-01 and 2021-01-03.,2,A_AIS_212575000_2021-01-03T02-40-00_55.02933_13.94033_ais,LUBECK,2021-01-03,0.4173922538757324,1,
A,Provide evidence about cargo ship traffic to LUBECK between 2021-01-01 and 2021-01-03.,3,A_AIS_212575000_2021-01-03T06-04-11_54.84442_13.01167_ais,LUBECK,2021-01-03,0.41903501749038696,1,
A,Provide evidence about cargo ship traffic to LUBECK between 2021-01-01 and 2021-01-03.,4,A_AIS_212575000_2021-01-03T03-30-01_54.98668_13.71837_ais,LUBECK,2021-01-03,0.42043113708496094,1,
A,Provide evidence about cargo ship traffic to LUBECK between 2021-01-01 and 2021-01-03.,5,A_AIS_212575000_2021-01-03T05-50-01_54.85833_13.07616_ais,LUBECK,2021-01-03,0.420616090297699,1,
A,Summarize route activity from LVVNT to SEKOG style destinations in early 2021.,1,A_PC_636014622_2021-01-05T16-33-47_LVVNT_portcall,LVVNT,2021-01-05,0.5960272550582886,1,
A,Summarize route activity from LVVNT to SEKOG style destinations in early 2021.,2,A_PC_255805881_2021-01-04T18-43-20_LVVNT_portcall,LVVNT,2021-01-04,0.6046692728996277,1,
A,Summarize route activity from LVVNT to SEKOG style destinations in early 2021.,3,A_PC_209531000_2021-01-04T06-46-26_LVVNT_portcall,LVVNT,2021-01-04,0.6082612872123718,1,
A,Summarize route activity from LVVNT to SEKOG style destinations in early 2021.,4,A_PC_538002614_2021-01-03T17-46-58_LVVNT_portcall,LVVNT,2021-01-03,0.6112725734710693,1,
A,Summarize route activity from LVVNT to SEKOG style destinations in early 2021.,5,A_PC_275110000_2021-01-10T11-23-36_LVVNT_portcall,LVVNT,2021-01-10,0.6197009086608887,1,
A,What evidence indicates congestion pressure at LVVNT on Fridays in 2021?,1,A_PC_538005401_2021-01-15T16-36-47_LVVNT_portcall,LVVNT,2021-01-15,0.5983037948608398,1,
A,What evidence indicates congestion pressure at LVVNT on Fridays in 2021?,2,A_PC_636019142_2021-02-08T15-40-11_LVVNT_portcall,LVVNT,2021-02-08,0.62565016746521,1,
A,What evidence indicates congestion pressure at LVVNT on Fridays in 2021?,3,A_PC_249706000_2021-02-12T04-38-46_LVVNT_portcall,LVVNT,2021-02-12,0.6275981068611145,1,
A,What evidence indicates congestion pressure at LVVNT on Fridays in 2021?,4,A_PC_538002773_2021-03-14T18-24-58_LVVNT_portcall,LVVNT,2021-03-14,0.6343115568161011,1,
A,What evidence indicates congestion pressure at LVVNT on Fridays in 2021?,5,A_PC_372443000_2021-01-30T02-30-08_LVVNT_portcall,LVVNT,2021-01-30,0.6378027200698853,1,
A,Show representative tanker-related events for LVVNT around 2021-01-03.,1,A_PC_538002614_2021-01-03T17-46-58_LVVNT_portcall,LVVNT,2021-01-03,0.3924536108970642,1,
A,Show representative tanker-related events for LVVNT around 2021-01-03.,2,A_AIS_538002614_2021-01-02T16-48-27_55.19167_13.51835_ais,LVVNT,2021-01-02,0.456909716129303,1,
A,Show representative tanker-related events for LVVNT around 2021-01-03.,3,A_AIS_538002614_2021-01-02T17-49-02_55.17114_13.90439_ais,LVVNT,2021-01-02,0.45981645584106445,1,
A,Show representative tanker-related events for LVVNT around 2021-01-03.,4,A_AIS_538002614_2021-01-02T17-35-55_55.17556_13.81757_ais,LVVNT,2021-01-02,0.4619098901748657,1,
A,Show representative tanker-related events for LVVNT around 2021-01-03.,5,A_AIS_538002614_2021-01-02T17-20-02_55.18067_13.71746_ais,LVVNT,2021-01-02,0.46373605728149414,1,
B,Describe vessel arrivals at Ventspils (LVVNT) on 2021-01-01 and mention dwell anomalies.,1,B_SUM_LVVNT_2021-01-01,LVVNT,2021-01-01,0.36362716453936716,2,
B,What happened at SEGOT on 2021-02-03 in terms of vessel arrivals?,1,B_SUM_SEGOT_2021-02-03,SEGOT,2021-02-03,0.29985777740102204,2,
B,List AIS incident-like position jumps for MMSI events around 2021-01-01.,1,B_SUM_SEMMA_2021-01-01,SEMMA,2021-01-01,0.6650426983833313,1,
B,List AIS incident-like position jumps for MMSI events around 2021-01-01.,2,B_SUM_SENRK_2021-01-01,SENRK,2021-01-01,0.6722804307937622,1,
B,List AIS incident-like position jumps for MMSI events around 2021-01-01.,3,B_SUM_SESUS_2021-01-02,SESUS,2021-01-02,0.682161808013916,1,
B,List AIS incident-like position jumps for MMSI events around 2021-01-01.,4,B_SUM_SEIGG_2021-01-01,SEIGG,2021-01-01,0.6868674755096436,1,
B,List AIS incident-like position jumps for MMSI events around 2021-01-01.,5,B_SUM_LVRIX_2021-01-02,LVRIX,2021-01-02,0.6926197409629822,1,
B,Give a port-day summary for LVVNT on 2021-01-02.,1,B_AIS_LVVNT_2021-01-02,LVVNT,2021-01-02,0.4595653131907853,2,
B,Were there unusual dwell-time outliers at LVVNT during January 2021?,1,B_SUM_LVVNT_2021-01-14,LVVNT,2021-01-14,0.5169999599456787,2,
B,Were there unusual dwell-time outliers at LVVNT during January 2021?,2,B_SUM_LVVNT_2021-01-08,LVVNT,2021-01-08,0.5205210447311401,2,
B,Were there unusual dwell-time outliers at LVVNT during January 2021?,3,B_SUM_LVVNT_2021-01-23,LVVNT,2021-01-23,0.5341303944587708,2,
B,Were there unusual dwell-time outliers at LVVNT during January 2021?,4,B_SUM_LVVNT_2021-01-03,LVVNT,2021-01-03,0.5412740111351013,2,
B,Were there unusual dwell-time outliers at LVVNT during January 2021?,5,B_SUM_LVVNT_2021-01-19,LVVNT,2021-01-19,0.5478923320770264,2,
B,Summarize route activity from LVVNT to SEKOG style destinations in early 2021.,1,B_AIS_LVVNT_2021-01-02,LVVNT,2021-01-02,0.53873610496521,1,
B,Summarize route activity from LVVNT to SEKOG style destinations in early 2021.,2,B_SUM_LVVNT_2021-01-08,LVVNT,2021-01-08,0.5496892929077148,1,
B,Summarize route activity from LVVNT to SEKOG style destinations in early 2021.,3,B_SUM_LVVNT_2021-01-09,LVVNT,2021-01-09,0.5619939565658569,1,
B,Summarize route activity from LVVNT to SEKOG style destinations in early 2021.,4,B_SUM_LVVNT_2021-01-01,LVVNT,2021-01-01,0.5626131296157837,1,
B,Summarize route activity from LVVNT to SEKOG style destinations in early 2021.,5,B_SUM_LVVNT_2021-01-04,LVVNT,2021-01-04,0.5649993419647217,1,
B,What evidence indicates congestion pressure at LVVNT on Fridays in 2021?,1,B_SUM_LVVNT_2021-01-06,LVVNT,2021-01-06,0.5411568880081177,1,
B,What evidence indicates congestion pressure at LVVNT on Fridays in 2021?,2,B_SUM_LVVNT_2021-04-19,LVVNT,2021-04-19,0.5486555099487305,1,
B,What evidence indicates congestion pressure at LVVNT on Fridays in 2021?,3,B_SUM_LVVNT_2021-03-09,LVVNT,2021-03-09,0.5488227605819702,1,
B,What evidence indicates congestion pressure at LVVNT on Fridays in 2021?,4,B_SUM_LVVNT_2021-01-22,LVVNT,2021-01-22,0.5506923198699951,1,
B,What evidence indicates congestion pressure at LVVNT on Fridays in 2021?,5,B_SUM_LVVNT_2021-01-31,LVVNT,2021-01-31,0.5573740601539612,1,
C,Describe vessel arrivals at Ventspils (LVVNT) on 2021-01-01 and mention dwell anomalies.,1,C_WIN_LVVNT_0_2021-01-01,LVVNT,2021-01-01,0.38791878913847655,2,
C,What happened at SEGOT on 2021-02-03 in terms of vessel arrivals?,1,C_WIN_SEGOT_530_2021-02-03,SEGOT,2021-02-03,0.3218237647642135,1,
C,What happened at SEGOT on 2021-02-03 in terms of vessel arrivals?,2,C_WIN_SEGOT_520_2021-02-03,SEGOT,2021-02-03,0.32474134517579056,1,
C,What happened at SEGOT on 2021-02-03 in terms of vessel arrivals?,3,C_WIN_SEGOT_515_2021-02-03,SEGOT,2021-02-03,0.3370814297710456,1,
C,What happened at SEGOT on 2021-02-03 in terms of vessel arrivals?,4,C_WIN_SEGOT_525_2021-02-03,SEGOT,2021-02-03,0.3469005832326053,1,
C,List AIS incident-like position jumps for MMSI events around 2021-01-01.,1,C_WIN_SENCS_0_2021-01-02,SENCS,2021-01-02,0.6649837493896484,1,
C,List AIS incident-like position jumps for MMSI events around 2021-01-01.,2,C_WIN_SEMMA_0_2021-01-01,SEMMA,2021-01-01,0.6683347225189209,1,
C,List AIS incident-like position jumps for MMSI events around 2021-01-01.,3,C_WIN_SESTE_0_2021-01-01,SESTE,2021-01-01,0.6686862707138062,1,
